name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Paris,France",2023-10-31,15.4,8.2,11.9,15.4,6,11.5,9.8,87.3,0.204,100,16.67,rain,0,0,38.1,18.8,223.8,1005.5,90.5,22.3,23.2,1.9,1,10,2023-10-31T07:35:21,2023-10-31T17:32:30,0.58,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-11-01,13.6,11.2,12.4,13.6,11.2,12.4,10.1,86,0.742,100,12.5,rain,0,0,52.9,25.5,200.1,1001.2,87.9,23.5,18.6,1.6,1,10,2023-11-01T07:36:56,2023-11-01T17:30:50,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-11-02,14,8.8,11.7,14,6,11.3,6.7,72.6,7.852,100,37.5,rain,0,0,87.4,37.1,217.8,981.9,91.1,21.2,18.8,1.6,1,10,2023-11-02T07:38:32,2023-11-02T17:29:13,0.65,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-11-03,10.1,5.8,8.2,10.1,3,6,5.7,84.9,0.158,100,8.33,rain,0,0,41.1,17.5,217,989.6,79.7,25.5,17,1.4,1,10,2023-11-03T07:40:07,2023-11-03T17:27:36,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-11-04,14.6,8.3,10.4,14.6,5.3,9.2,8.1,86,7.008,100,33.33,rain,0,0,69.9,27.9,204.2,979.7,92.8,17.7,13,1.1,1,10,2023-11-04T07:41:43,2023-11-04T17:26:02,0.71,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-11-05,13.9,9.7,11.3,13.9,7.4,11.1,7.9,80.2,3.964,100,50,rain,0,0,63.3,27.4,243.8,985.5,81.9,22.5,12.3,0.9,1,10,2023-11-05T07:43:19,2023-11-05T17:24:29,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-11-06,13.7,8.5,10.3,13.7,6.2,9,7.5,83.4,0.407,100,16.67,rain,0,0,49.4,21.7,221.9,1005.1,86.3,20.5,23.7,2.1,3,10,2023-11-06T07:44:54,2023-11-06T17:22:58,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,LFPV,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
"Paris,France",2023-11-07,12.7,7.5,9.7,12.7,5,8.4,6.4,80.3,0.125,100,12.5,rain,0,0,48.6,19.9,234.8,1014.1,72.6,24.3,23.2,1.9,3,10,2023-11-07T07:46:30,2023-11-07T17:21:29,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-11-08,12.9,7,9.7,12.9,4.4,8.4,7.4,86.2,1.033,100,16.67,rain,0,0,59.7,24.2,203.3,1014,93.9,21.8,16.9,1.5,1,10,2023-11-08T07:48:05,2023-11-08T17:20:01,0.84,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-11-09,11.4,7.8,9.8,11.4,5.3,8.9,7.7,87,1.26,100,41.67,rain,0,0,50.4,20.6,224,1004.8,92.5,20.5,15.6,1.4,1,10,2023-11-09T07:49:41,2023-11-09T17:18:35,0.87,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
